column,column_2
2021-10-06 01:06:00,2820
2021-10-06 02:00:00,2880
2021-10-06 04:00:00,2970
2021-10-06 06:00:00,3060
2021-10-06 06:18:00,3130
2021-10-06 07:06:00,3180
2021-10-06 08:00:00,3160
2021-10-06 10:00:00,3220
2021-10-06 12:00:00,3190
2021-10-06 13:27:00,3010
2021-10-06 14:00:00,3050
2021-10-06 15:00:00,2910
2021-10-06 16:00:00,2850
2021-10-06 17:00:00,2740
2021-10-06 18:00:00,2710
2021-10-06 18:54:00,2650
2021-10-06 19:00:00,2620
2021-10-06 20:00:00,2530
2021-10-06 21:00:00,2440
2021-10-06 22:00:00,2400
2021-10-06 23:00:00,2370
2021-10-07 00:00:00,2240
2021-10-07 01:00:00,2170
2021-10-07 02:00:00,2150
2021-10-07 03:00:00,2080
2021-10-07 04:00:00,1970
2021-10-07 05:00:00,1900
2021-10-07 06:00:00,1840
2021-10-07 06:42:00,1810
2021-10-07 07:00:00,1770
2021-10-07 08:00:00,1760
2021-10-07 09:00:00,1630
2021-10-07 10:00:00,1600
2021-10-07 11:00:00,1600
2021-10-07 12:00:00,1600
2021-10-07 13:00:00,1560
2021-10-07 14:00:00,1520
2021-10-07 15:00:00,1510
2021-10-07 16:00:00,1520
2021-10-07 17:00:00,1490
2021-10-07 18:00:00,1500
2021-10-07 19:00:00,1520
2021-10-07 19:06:00,1490
2021-10-07 20:00:00,1550
2021-10-07 21:00:00,1690
2021-10-07 22:00:00,1670
2021-10-07 23:00:00,1580
2021-10-08 00:00:00,1550
2021-10-08 01:00:00,1520
2021-10-08 02:00:00,1520
2021-10-08 03:00:00,1500
2021-10-08 04:00:00,1520
2021-10-08 05:00:00,1510
2021-10-08 06:00:00,1510
2021-10-08 07:00:00,1500
2021-10-08 08:00:00,1510
2021-10-08 09:00:00,1510
2021-10-08 10:00:00,1470
2021-10-08 10:45:00,1480
2021-10-08 11:00:00,1490
2021-10-08 12:00:00,1470
2021-10-08 13:00:00,1450
2021-10-08 14:00:00,1420
2021-10-08 15:00:00,1430
2021-10-08 16:00:00,1430
2021-10-08 17:00:00,1430
2021-10-08 18:00:00,1420
2021-10-08 18:30:00,1420
2021-10-08 19:00:00,1460
2021-10-08 20:00:00,1430
2021-10-08 21:00:00,1420
2021-10-08 22:00:00,1450
2021-10-08 23:00:00,1450
2021-10-09 00:00:00,1420
2021-10-09 01:00:00,1420
2021-10-09 02:00:00,1420
2021-10-09 03:00:00,1410
2021-10-09 04:00:00,1390
2021-10-09 05:00:00,1380
2021-10-09 05:54:00,1390
2021-10-09 06:00:00,1330
2021-10-09 07:00:00,1370
2021-10-09 08:00:00,1340
2021-10-09 09:00:00,1350
2021-10-09 10:00:00,1380
2021-10-09 11:00:00,1330
2021-10-09 12:00:00,1350
2021-10-09 13:00:00,1320
2021-10-09 14:00:00,1290
2021-10-09 15:00:00,1260
2021-10-09 16:00:00,1180
2021-10-09 17:00:00,1220
2021-10-09 18:00:00,1240
2021-10-09 19:00:00,1260
2021-10-09 19:12:00,1230
2021-10-09 20:00:00,1280
2021-10-09 21:00:00,1260
2021-10-09 22:00:00,1240
2021-10-09 23:00:00,1250
2021-10-10 00:00:00,1240
2021-10-10 01:00:00,1220
2021-10-10 02:00:00,1210
2021-10-10 03:00:00,1210
2021-10-10 04:00:00,1220
2021-10-10 05:00:00,1200
2021-10-10 06:00:00,1190
2021-10-10 06:45:00,1240
2021-10-10 07:00:00,1210
2021-10-10 08:00:00,1210
2021-10-10 09:00:00,1190
2021-10-10 10:00:00,1150
2021-10-10 11:00:00,1150
2021-10-10 12:00:00,1110
2021-10-10 13:00:00,1090
2021-10-10 14:00:00,1040
2021-10-10 15:00:00,1020
2021-10-10 16:00:00,1020
2021-10-10 17:00:00,1020
2021-10-10 18:00:00,1000
2021-10-10 18:09:00,1020
2021-10-10 19:00:00,995
2021-10-10 20:00:00,970
2021-10-10 21:00:00,948
2021-10-10 22:00:00,940
2021-10-10 23:00:00,940
2021-10-11 00:00:00,940
2021-10-11 01:00:00,948
2021-10-11 02:00:00,948
2021-10-11 03:00:00,940
2021-10-11 04:00:00,948
2021-10-11 05:00:00,948
2021-10-11 06:00:00,948
2021-10-11 06:54:00,914
2021-10-11 07:00:00,952
2021-10-11 08:00:00,917
2021-10-11 09:00:00,900
2021-10-11 10:00:00,889
