column,column_2
2021-09-18 06:27:00,3510
2021-09-18 08:00:00,3510
2021-09-18 08:42:00,3540
2021-09-18 10:00:00,3510
2021-09-18 12:00:00,3500
2021-09-18 14:00:00,3470
2021-09-18 16:00:00,3470
2021-09-18 18:00:00,3450
2021-09-18 18:30:00,3160
2021-09-18 20:00:00,3050
2021-09-18 22:00:00,2930
2021-09-19 00:00:00,2850
2021-09-19 02:00:00,2750
2021-09-19 04:00:00,2670
2021-09-19 06:00:00,2600
2021-09-19 07:42:00,2600
2021-09-19 08:00:00,2560
2021-09-19 10:00:00,2580
2021-09-19 12:00:00,2630
2021-09-19 14:00:00,2690
2021-09-19 16:00:00,2760
2021-09-19 16:57:00,2830
2021-09-19 18:00:00,2890
2021-09-19 18:12:00,2900
2021-09-19 20:00:00,3000
2021-09-19 22:00:00,3040
2021-09-20 00:00:00,3110
2021-09-20 02:00:00,3170
2021-09-20 04:00:00,3170
2021-09-20 06:00:00,3240
2021-09-20 07:12:00,3600
2021-09-20 08:00:00,3410
2021-09-20 10:00:00,3620
2021-09-20 12:00:00,3800
2021-09-20 14:00:00,3860
2021-09-20 16:00:00,3930
2021-09-20 18:00:00,3980
2021-09-20 19:45:00,4320
2021-09-20 20:00:00,4150
2021-09-20 21:24:00,4340
2021-09-20 22:00:00,4260
2021-09-21 00:00:00,4260
2021-09-21 02:00:00,4260
2021-09-21 04:00:00,4220
2021-09-21 05:21:00,4090
2021-09-21 06:00:00,4160
2021-09-21 08:00:00,4040
2021-09-21 10:00:00,3950
2021-09-21 12:00:00,3820
2021-09-21 14:00:00,3780
2021-09-21 16:00:00,3750
2021-09-21 16:30:00,3670
2021-09-21 18:00:00,3610
2021-09-21 20:00:00,3500
2021-09-21 22:00:00,3320
2021-09-22 00:00:00,3130
2021-09-22 02:00:00,3000
2021-09-22 04:00:00,2810
2021-09-22 06:00:00,2670
2021-09-22 06:03:00,2860
2021-09-22 08:00:00,2750
2021-09-22 10:00:00,2690
2021-09-22 18:21:00,2480
2021-09-22 20:00:00,2440
2021-09-23 08:00:00,1950
2021-09-23 08:15:00,1970
2021-09-23 20:00:00,1850
2021-09-24 08:00:00,1720
2021-09-24 20:00:00,1600
2021-09-25 08:00:00,1820
2021-09-25 09:39:00,1980
2021-09-25 20:00:00,2280
2021-09-26 06:42:00,2790
2021-09-26 08:00:00,2800
2021-09-26 14:00:00,3050
2021-09-26 16:00:00,3160
2021-09-26 18:00:00,3180
2021-09-26 18:45:00,3640
2021-09-26 20:00:00,3640
2021-09-26 22:00:00,3820
2021-09-27 00:00:00,3930
2021-09-27 02:00:00,4300
2021-09-27 04:00:00,4380
2021-09-27 04:06:00,4380
2021-09-27 06:00:00,4560
2021-09-27 08:00:00,4700
2021-09-27 10:00:00,4740
2021-09-27 10:30:00,4860
2021-09-27 12:00:00,4900
2021-09-27 14:00:00,4940
2021-09-27 15:48:00,5020
2021-09-27 16:00:00,5020
2021-09-27 17:00:00,5020
2021-09-27 18:00:00,5060
2021-09-27 19:00:00,5060
2021-09-27 19:54:00,5080
2021-09-27 20:00:00,5060
2021-09-27 21:00:00,5060
2021-09-27 21:30:00,5100
2021-09-27 22:00:00,5100
2021-09-27 23:00:00,5020
2021-09-28 00:00:00,5060
2021-09-28 01:00:00,5060
2021-09-28 02:00:00,5020
2021-09-28 03:00:00,5020
2021-09-28 04:00:00,5020
2021-09-28 05:00:00,5060
2021-09-28 06:00:00,5100
2021-09-28 07:00:00,5100
2021-09-28 08:00:00,5150
2021-09-28 09:00:00,5150
2021-09-28 09:30:00,5200
2021-09-28 10:00:00,5060
2021-09-28 11:00:00,5150
2021-09-28 12:00:00,5150
2021-09-28 13:00:00,5150
2021-09-28 14:00:00,5170
2021-09-28 15:00:00,5240
2021-09-28 16:00:00,5260
2021-09-28 17:00:00,5340
2021-09-28 18:00:00,5370
2021-09-28 19:00:00,5430
2021-09-28 20:00:00,5520
2021-09-28 20:51:00,5750
2021-09-28 21:00:00,5650
2021-09-28 22:00:00,5760
2021-09-28 23:00:00,5820
2021-09-29 00:00:00,5900
2021-09-29 01:00:00,5930
2021-09-29 02:00:00,5980
2021-09-29 03:00:00,6020
2021-09-29 04:00:00,6050
2021-09-29 05:00:00,6100
2021-09-29 06:00:00,6170
2021-09-29 06:15:00,6370
2021-09-29 07:00:00,6370
2021-09-29 08:00:00,6400
2021-09-29 09:00:00,6460
2021-09-29 09:18:00,6520
2021-09-29 10:00:00,6520
2021-09-29 11:00:00,6400
2021-09-29 12:00:00,6520
2021-09-29 13:00:00,6570
2021-09-29 14:00:00,6610
2021-09-29 14:51:00,7040
2021-09-29 15:00:00,6720
2021-09-29 16:00:00,6800
2021-09-29 17:00:00,7160
2021-09-29 18:00:00,7300
2021-09-29 19:00:00,7380
2021-09-29 19:30:00,7380
2021-09-29 20:00:00,7400
2021-09-29 21:00:00,7440
2021-09-29 22:00:00,7460
2021-09-29 23:00:00,7480
2021-09-30 00:00:00,7480
2021-09-30 01:00:00,7480
2021-09-30 02:00:00,7480
2021-09-30 03:00:00,7460
2021-09-30 04:00:00,7480
2021-09-30 05:00:00,7480
2021-09-30 06:00:00,7460
2021-09-30 06:06:00,7370
2021-09-30 07:00:00,7460
2021-09-30 08:00:00,7370
2021-09-30 09:00:00,7370
2021-09-30 10:00:00,7480
2021-09-30 11:00:00,7370
2021-09-30 12:00:00,7300
2021-09-30 13:00:00,7300
2021-09-30 14:00:00,7200
2021-09-30 15:00:00,7200
2021-09-30 16:00:00,7200
2021-09-30 17:00:00,7200
2021-09-30 18:00:00,7150
2021-09-30 19:00:00,7200
2021-09-30 19:06:00,7250
2021-09-30 20:00:00,7200
2021-09-30 21:00:00,7200
2021-09-30 22:00:00,7150
2021-09-30 23:00:00,7150
2021-10-01 00:00:00,7100
2021-10-01 01:00:00,7100
2021-10-01 02:00:00,7150
2021-10-01 03:00:00,7100
2021-10-01 04:00:00,7000
2021-10-01 05:00:00,6920
2021-10-01 06:00:00,6820
2021-10-01 06:03:00,6580
2021-10-01 07:00:00,6460
2021-10-01 08:00:00,6220
2021-10-01 09:00:00,6160
2021-10-01 10:00:00,5960
2021-10-01 11:00:00,5810
2021-10-01 11:09:00,5370
2021-10-01 12:00:00,5260
2021-10-01 13:00:00,5050
2021-10-01 14:00:00,4840
2021-10-01 15:00:00,4660
2021-10-01 16:00:00,4470
2021-10-01 16:24:00,4450
2021-10-01 17:00:00,4250
2021-10-01 18:00:00,4180
2021-10-01 19:00:00,4080
2021-10-01 20:00:00,3930
2021-10-01 21:00:00,3810
2021-10-01 22:00:00,3700
2021-10-01 22:21:00,3420
2021-10-01 23:00:00,3300
2021-10-02 00:00:00,3150
2021-10-02 01:00:00,3000
2021-10-02 02:00:00,2930
2021-10-02 03:00:00,2820
2021-10-02 04:00:00,2800
2021-10-02 05:00:00,2770
2021-10-02 06:00:00,2720
2021-10-02 06:51:00,2860
2021-10-02 07:00:00,2660
2021-10-02 08:00:00,2800
2021-10-02 09:00:00,2760
2021-10-02 10:00:00,2740
2021-10-02 11:00:00,2720
2021-10-02 12:00:00,2640
2021-10-02 13:00:00,2600
2021-10-02 14:00:00,2560
2021-10-02 15:00:00,2540
2021-10-02 16:00:00,2520
2021-10-02 17:00:00,2480
2021-10-02 18:00:00,2400
2021-10-02 18:21:00,2310
2021-10-02 19:00:00,2300
2021-10-02 20:00:00,2260
2021-10-02 21:00:00,2260
2021-10-02 22:00:00,2220
2021-10-02 23:00:00,2200
2021-10-03 00:00:00,2180
2021-10-03 01:00:00,2150
2021-10-03 02:00:00,2100
2021-10-03 03:00:00,2100
2021-10-03 04:00:00,2090
2021-10-03 05:00:00,2070
2021-10-03 06:00:00,2050
2021-10-03 07:00:00,2050
2021-10-03 08:00:00,1990
2021-10-03 09:00:00,1990
2021-10-03 10:00:00,1990
2021-10-03 11:00:00,1990
2021-10-03 12:00:00,1990
2021-10-03 13:00:00,1970
2021-10-03 14:00:00,1920
2021-10-03 15:00:00,1920
2021-10-03 16:00:00,1920
2021-10-03 17:00:00,1900
2021-10-03 17:18:00,1900
2021-10-03 18:00:00,1900
2021-10-03 19:00:00,1860
2021-10-03 20:00:00,1840
2021-10-03 21:00:00,1860
2021-10-03 22:00:00,1880
2021-10-03 23:00:00,1840
2021-10-04 00:00:00,1860
2021-10-04 01:00:00,1880
2021-10-04 02:00:00,1860
2021-10-04 03:00:00,1880
2021-10-04 04:00:00,1840
2021-10-04 05:00:00,1860
2021-10-04 06:00:00,1860
2021-10-04 07:00:00,1860
2021-10-04 08:00:00,1840
2021-10-04 09:00:00,1840
2021-10-04 10:00:00,1860
2021-10-04 11:00:00,1880
2021-10-04 12:00:00,1860
2021-10-04 13:00:00,1860
2021-10-04 14:00:00,1820
2021-10-04 15:00:00,1820
2021-10-04 16:00:00,1800
2021-10-04 17:00:00,1860
2021-10-04 18:00:00,1860
2021-10-04 19:00:00,1880
2021-10-04 20:00:00,1900
2021-10-04 21:00:00,1900
2021-10-04 22:00:00,1990
2021-10-04 23:00:00,2040
2021-10-05 00:00:00,2090
2021-10-05 01:00:00,2120
2021-10-05 02:00:00,2190
2021-10-05 03:00:00,2230
2021-10-05 04:00:00,2250
2021-10-05 05:00:00,2270
2021-10-05 06:00:00,2300
2021-10-05 07:00:00,2340
2021-10-05 07:12:00,2640
2021-10-05 08:00:00,2720
2021-10-05 08:30:00,2800
2021-10-05 09:00:00,2880
2021-10-05 10:00:00,2960
2021-10-05 11:00:00,3080
2021-10-05 12:00:00,3170
2021-10-05 13:00:00,3220
2021-10-05 14:00:00,3300
2021-10-05 15:00:00,3420
2021-10-05 16:00:00,3520
2021-10-05 17:00:00,3680
2021-10-05 17:27:00,4100
2021-10-05 18:00:00,3900
2021-10-05 19:00:00,4350
2021-10-05 20:00:00,4560
2021-10-05 21:00:00,4760
2021-10-05 21:27:00,4950
2021-10-05 22:00:00,4900
2021-10-05 23:00:00,5090
2021-10-06 00:00:00,5240
2021-10-06 01:00:00,5400
2021-10-06 02:00:00,5580
2021-10-06 03:00:00,5640
2021-10-06 04:00:00,5760
2021-10-06 05:00:00,5880
2021-10-06 05:09:00,5700
2021-10-06 06:00:00,5800
2021-10-06 07:00:00,5880
2021-10-06 08:00:00,5910
2021-10-06 09:00:00,5980
2021-10-06 10:00:00,6120
2021-10-06 11:00:00,6220
