column,column_2
2021-09-07 08:45:28.800,2370
2021-09-07 09:00:28.800,2430
2021-09-07 11:00:28.800,2370
2021-09-07 13:00:28.800,2370
2021-09-07 15:00:28.800,2370
2021-09-07 17:00:28.800,2300
2021-09-07 17:45:28.800,2190
2021-09-07 19:00:28.800,2120
2021-09-07 21:00:28.800,2020
2021-09-07 23:00:28.800,1930
2021-09-08 01:00:28.800,1840
2021-09-08 01:09:28.800,1670
2021-09-08 03:00:28.800,1570
2021-09-08 05:00:28.800,1450
2021-09-08 07:00:28.800,1340
2021-09-08 08:30:28.800,1230
2021-09-08 09:00:28.800,1220
2021-09-08 11:00:28.800,1080
2021-09-08 13:00:28.800,985
2021-09-08 13:39:28.800,945
2021-09-08 15:00:28.800,940
2021-09-09 01:48:28.800,699
2021-09-09 03:00:28.800,695
2021-09-09 13:51:28.800,594
2021-09-09 15:00:28.800,592
2021-09-10 03:00:28.800,474
2021-09-10 03:51:28.800,465
2021-09-10 13:57:28.800,336
2021-09-11 03:00:28.800,328
2021-09-11 13:45:28.800,292
2021-09-12 03:00:28.800,320
2021-09-13 03:00:28.800,273
2021-09-14 03:00:28.800,267
2021-09-15 03:00:28.800,236
2021-09-15 12:42:28.800,206
2021-09-16 03:00:28.800,204
2021-09-17 03:00:28.800,240
2021-09-18 02:48:28.800,421
2021-09-18 03:00:28.800,409
2021-09-18 03:06:28.800,411
2021-09-18 14:54:28.800,712
2021-09-18 15:00:28.800,715
2021-09-19 01:21:28.800,1220
2021-09-19 03:00:28.800,1360
2021-09-19 06:00:28.800,1550
2021-09-19 08:03:28.800,1750
2021-09-19 09:00:28.800,1790
2021-09-19 12:00:28.800,1970
2021-09-19 15:00:28.800,2100
2021-09-19 15:45:28.800,2360
2021-09-19 17:00:28.800,2440
2021-09-19 19:00:28.800,2580
2021-09-19 21:00:28.800,2670
2021-09-19 23:00:28.800,2750
2021-09-20 01:00:28.800,2800
2021-09-20 01:09:28.800,2730
2021-09-20 03:00:28.800,2850
2021-09-20 05:00:28.800,2870
2021-09-20 06:24:28.800,2840
2021-09-20 07:00:28.800,2880
2021-09-20 09:00:28.800,2900
2021-09-20 11:00:28.800,2900
2021-09-20 13:00:28.800,2920
2021-09-20 14:30:28.800,2720
2021-09-20 15:00:28.800,2930
2021-09-20 17:00:28.800,2600
2021-09-20 19:00:28.800,2600
2021-09-20 21:00:28.800,2500
2021-09-20 23:00:28.800,2470
2021-09-21 01:00:28.800,2250
2021-09-21 01:30:28.800,2110
2021-09-21 03:00:28.800,2040
2021-09-21 05:00:28.800,1970
2021-09-21 07:00:28.800,1850
2021-09-21 09:00:28.800,1600
2021-09-21 09:36:28.800,1430
2021-09-21 12:00:28.800,1270
2021-09-21 15:00:28.800,1200
2021-09-21 16:45:28.800,1180
2021-09-21 18:00:28.800,1140
2021-09-21 21:00:28.800,1060
2021-09-22 01:51:28.800,915
2021-09-22 03:00:28.800,899
2021-09-22 13:45:28.800,857
2021-09-22 15:00:28.800,830
2021-09-23 03:00:28.800,770
2021-09-23 11:00:28.800,703
2021-09-23 15:00:28.800,697
2021-09-24 03:00:28.800,632
2021-09-24 15:00:28.800,785
2021-09-24 15:42:28.800,812
2021-09-24 17:36:28.800,923
2021-09-24 21:00:28.800,1100
2021-09-24 23:09:28.800,1430
2021-09-25 00:00:28.800,1500
2021-09-25 03:00:28.800,1720
2021-09-25 06:00:28.800,1860
2021-09-25 06:33:28.800,1800
2021-09-25 09:00:28.800,1870
2021-09-25 12:00:28.800,1920
2021-09-25 14:27:28.800,2240
2021-09-25 15:00:28.800,2210
2021-09-25 17:00:28.800,2370
2021-09-25 19:00:28.800,2500
2021-09-25 20:27:28.800,2460
2021-09-25 21:00:28.800,2520
2021-09-25 23:00:28.800,2540
2021-09-26 01:00:28.800,2560
2021-09-26 03:00:28.800,2580
2021-09-26 05:00:28.800,2600
2021-09-26 06:24:28.800,2760
2021-09-26 07:00:28.800,2710
2021-09-26 09:00:28.800,2800
2021-09-26 11:00:28.800,2840
2021-09-26 13:00:28.800,2880
2021-09-26 15:00:28.800,3070
2021-09-26 16:00:28.800,3230
2021-09-26 16:51:28.800,3370
2021-09-26 17:00:28.800,3240
2021-09-26 18:00:28.800,3410
2021-09-26 19:00:28.800,3420
2021-09-26 20:00:28.800,3430
2021-09-26 21:00:28.800,3480
2021-09-26 22:00:28.800,3530
2021-09-26 23:00:28.800,3540
2021-09-27 00:00:28.800,3600
2021-09-27 01:00:28.800,3610
2021-09-27 02:00:28.800,3620
2021-09-27 03:00:28.800,3640
2021-09-27 04:00:28.800,3650
2021-09-27 05:00:28.800,3660
2021-09-27 06:00:28.800,3670
2021-09-27 07:00:28.800,3680
2021-09-27 08:00:28.800,3690
2021-09-27 08:42:28.800,3840
2021-09-27 09:00:28.800,3700
2021-09-27 10:00:28.800,3710
2021-09-27 11:00:28.800,3860
2021-09-27 12:00:28.800,3870
2021-09-27 13:00:28.800,3890
2021-09-27 14:00:28.800,3900
2021-09-27 15:00:28.800,3960
2021-09-27 16:00:28.800,4010
2021-09-27 17:00:28.800,4050
2021-09-27 18:00:28.800,4080
2021-09-27 19:00:28.800,4090
2021-09-27 20:00:28.800,4100
2021-09-27 21:00:28.800,4110
2021-09-27 22:00:28.800,4120
2021-09-27 23:00:28.800,4130
2021-09-28 00:00:28.800,4140
2021-09-28 01:00:28.800,4150
2021-09-28 02:00:28.800,4160
2021-09-28 03:00:28.800,4190
2021-09-28 04:00:28.800,4210
2021-09-28 05:00:28.800,4230
2021-09-28 05:39:28.800,4570
2021-09-28 06:00:28.800,4250
2021-09-28 07:00:28.800,4290
2021-09-28 08:00:28.800,4650
2021-09-28 09:00:28.800,4700
2021-09-28 10:00:28.800,4720
2021-09-28 11:00:28.800,4740
2021-09-28 12:00:28.800,4750
2021-09-28 12:09:28.800,4840
2021-09-28 13:00:28.800,4750
2021-09-28 14:00:28.800,4860
2021-09-28 15:00:28.800,4840
2021-09-28 16:00:28.800,4720
2021-09-28 17:00:28.800,4720
2021-09-28 18:00:28.800,4710
2021-09-28 19:00:28.800,4710
2021-09-28 20:00:28.800,4690
2021-09-28 21:00:28.800,4670
2021-09-28 22:00:28.800,4650
2021-09-28 23:00:28.800,4620
2021-09-29 00:00:28.800,4590
2021-09-29 01:00:28.800,4540
2021-09-29 02:00:28.800,4500
2021-09-29 03:00:28.800,4460
2021-09-29 04:00:28.800,4420
2021-09-29 04:18:28.800,4180
2021-09-29 05:00:28.800,4180
2021-09-29 06:00:28.800,4100
2021-09-29 07:00:28.800,4060
2021-09-29 08:00:28.800,4020
2021-09-29 09:00:28.800,3990
2021-09-29 10:00:28.800,3960
2021-09-29 11:00:28.800,3940
2021-09-29 12:00:28.800,3890
2021-09-29 13:00:28.800,3880
2021-09-29 13:36:28.800,3750
2021-09-29 14:00:28.800,3830
2021-09-29 15:00:28.800,3820
2021-09-29 16:00:28.800,3740
2021-09-29 17:00:28.800,3680
2021-09-29 18:00:28.800,3670
2021-09-29 19:00:28.800,3650
2021-09-29 20:00:28.800,3580
2021-09-29 21:00:28.800,3540
2021-09-29 22:00:28.800,3510
2021-09-29 23:00:28.800,3430
2021-09-30 00:00:28.800,3380
2021-09-30 01:00:28.800,3360
2021-09-30 02:00:28.800,3280
2021-09-30 03:00:28.800,3210
2021-09-30 04:00:28.800,3190
2021-09-30 05:00:28.800,3150
2021-09-30 06:00:28.800,3080
2021-09-30 06:54:28.800,2850
2021-09-30 07:00:28.800,3020
2021-09-30 08:00:28.800,2990
2021-09-30 09:00:28.800,2740
2021-09-30 11:00:28.800,2600
2021-09-30 11:30:28.800,2500
2021-09-30 13:00:28.800,2390
2021-09-30 15:00:28.800,2250
2021-09-30 16:06:28.800,2290
2021-09-30 17:00:28.800,2210
2021-09-30 19:00:28.800,2160
2021-09-30 21:00:28.800,2080
2021-09-30 23:00:28.800,2000
2021-10-01 00:00:28.800,1980
2021-10-01 03:00:28.800,1900
2021-10-01 04:36:28.800,1890
2021-10-01 06:00:28.800,1800
2021-10-01 09:00:28.800,1780
2021-10-01 12:00:28.800,1750
2021-10-01 14:51:28.800,1900
2021-10-01 15:00:28.800,1700
2021-10-01 18:00:28.800,1780
2021-10-01 21:00:28.800,1750
2021-10-02 00:00:28.800,1740
2021-10-02 03:00:28.800,1730
2021-10-02 05:06:28.800,1540
2021-10-02 06:00:28.800,1610
2021-10-02 09:00:28.800,1530
2021-10-02 12:00:28.800,1520
2021-10-02 15:00:28.800,1350
2021-10-02 18:00:28.800,1290
2021-10-02 21:00:28.800,1260
2021-10-03 00:00:28.800,1220
2021-10-03 03:00:28.800,1190
2021-10-03 06:00:28.800,1160
2021-10-03 09:00:28.800,1090
2021-10-03 12:00:28.800,1020
2021-10-03 13:24:28.800,892
2021-10-03 15:00:28.800,890
2021-10-04 03:00:28.800,770
2021-10-04 12:12:28.800,1040
2021-10-04 13:30:28.800,1050
2021-10-04 15:00:28.800,1060
2021-10-04 18:00:28.800,1130
2021-10-04 21:00:28.800,1250
2021-10-05 00:00:28.800,1320
2021-10-05 03:00:28.800,1550
2021-10-05 03:57:28.800,2300
2021-10-05 05:00:28.800,2320
2021-10-05 07:00:28.800,2350
2021-10-05 09:00:28.800,2400
2021-10-05 11:00:28.800,2780
2021-10-05 12:51:28.800,2740
2021-10-05 13:00:28.800,2790
2021-10-05 15:00:28.800,2800
2021-10-05 17:00:28.800,2890
2021-10-05 19:00:28.800,2980
2021-10-05 20:00:28.800,3010
2021-10-05 21:00:28.800,3040
